dc1,Nx,Ny,c,f,dc2,ht,lg1,i,mathindex,N
15.5mm,1,2,4.5mm,300.0kHz,7.2mm,8.2mm,2.1mm,21.0A,copper_lizt_c_4.5,1
12.0mm,1,2,3.5mm,100.0kHz,6.1mm,4.1mm,2.1mm,15.0A,copper_lizt_c_3.5,2
10.5mm,5,3,1.0mm,400.0kHz,4.2mm,3.7mm,2.9mm,1.0A,copper_lizt_c_1,3
12.0mm,1,3,2.5mm,100.0kHz,6.1mm,6.1mm,2.7mm,25.0A,copper_lizt_c_2.5,4
10.5mm,9,3,1.0mm,400.0kHz,4.2mm,5.2mm,0.3mm,1.0A,copper_lizt_c_1,5
17.5mm,6,3,1.5mm,400.0kHz,5.8mm,5.3mm,3.7mm,23.0A,copper_lizt_c_1.5,6
16.5mm,3,2,3.0mm,300.0kHz,6.0mm,7.5mm,2.1mm,46.0A,copper_lizt_c_3,7
15.0mm,1,8,1.0mm,200.0kHz,8.0mm,8.0mm,2.5mm,7.0A,copper_lizt_c_1,8
14.0mm,2,4,1.5mm,300.0kHz,8.2mm,5.2mm,0.3mm,3.0A,copper_lizt_c_1.5,9
14.0mm,2,5,1.5mm,100.0kHz,7.2mm,4.7mm,1.5mm,23.0A,copper_lizt_c_1.5,10
11.5mm,4,9,1.0mm,200.0kHz,3.5mm,4.0mm,3.7mm,8.0A,copper_lizt_c_1,11
13.5mm,1,2,3.0mm,300.0kHz,7.6mm,8.1mm,1.1mm,42.0A,copper_lizt_c_3,12
13.0mm,2,2,4.5mm,100.0kHz,7.4mm,3.9mm,3.7mm,21.0A,copper_lizt_c_4.5,13
16.5mm,1,1,4.0mm,100.0kHz,6.5mm,6.5mm,1.1mm,20.0A,copper_lizt_c_4,14
8.0mm,3,2,2.5mm,400.0kHz,4.9mm,4.4mm,2.5mm,46.0A,copper_lizt_c_2.5,15
7.5mm,1,3,1.0mm,200.0kHz,3.8mm,3.3mm,3.7mm,16.0A,copper_lizt_c_1,16
9.5mm,7,4,1.0mm,200.0kHz,3.4mm,4.9mm,1.7mm,3.0A,copper_lizt_c_1,17
11.5mm,6,1,1.0mm,300.0kHz,7.0mm,7.0mm,3.1mm,34.0A,copper_lizt_c_1,18
15.0mm,2,1,3.5mm,100.0kHz,7.0mm,5.5mm,2.3mm,3.0A,copper_lizt_c_3.5,19
6.5mm,1,3,1.0mm,300.0kHz,3.5mm,3.0mm,3.7mm,48.0A,copper_lizt_c_1,20
17.5mm,2,1,1.5mm,200.0kHz,6.3mm,5.8mm,1.3mm,30.0A,copper_lizt_c_1.5,21
15.5mm,4,1,1.5mm,200.0kHz,8.2mm,7.2mm,2.5mm,9.0A,copper_lizt_c_1.5,22
18.0mm,2,1,2.5mm,400.0kHz,5.4mm,5.9mm,2.9mm,3.0A,copper_lizt_c_2.5,23
15.0mm,1,1,4.0mm,300.0kHz,6.5mm,6.0mm,0.1mm,3.0A,copper_lizt_c_4,24
8.0mm,4,1,2.0mm,200.0kHz,4.9mm,2.9mm,2.1mm,2.0A,copper_lizt_c_2,25
