dc1,dc2,cNx,ht,lg1,Nx,Ny,c,f,i,L(uH),Pw(W),Pc(W),V(mm³),S(mm²),P
6.0 ,2.4 ,9.0 ,2.4 ,0.5 ,9.0 ,6.0 ,1.0 ,200.0 ,1.0 ,302.0 ,0.8 ,0.9 ,9703.4 ,800.6 ,1.7 
6.0 ,2.4 ,10.0 ,2.4 ,0.7 ,10.0 ,6.0 ,1.0 ,200.0 ,1.0 ,297.4 ,1.1 ,0.6 ,11131.6 ,918.4 ,1.7 
7.0 ,2.8 ,18.0 ,2.8 ,0.8 ,9.0 ,6.0 ,2.0 ,200.0 ,1.0 ,297.1 ,1.5 ,0.9 ,43048.9 ,2277.7 ,2.3 
8.0 ,3.1 ,14.0 ,3.1 ,0.5 ,7.0 ,6.0 ,2.0 ,200.0 ,1.0 ,297.9 ,0.8 ,1.2 ,33180.3 ,1686.0 ,1.9 
8.0 ,3.1 ,17.5 ,3.1 ,0.5 ,7.0 ,6.0 ,2.5 ,200.0 ,1.0 ,300.0 ,0.9 ,1.4 ,52444.1 ,2312.4 ,2.3 
8.0 ,3.1 ,8.0 ,3.1 ,0.7 ,8.0 ,6.0 ,1.0 ,200.0 ,1.0 ,299.1 ,0.7 ,0.5 ,11494.4 ,840.2 ,1.2 
8.0 ,3.1 ,12.0 ,3.1 ,0.7 ,8.0 ,6.0 ,1.5 ,200.0 ,1.0 ,302.9 ,0.9 ,0.7 ,22886.2 ,1372.1 ,1.6 
8.0 ,3.1 ,13.5 ,3.1 ,1.0 ,9.0 ,6.0 ,1.5 ,200.0 ,1.0 ,302.0 ,1.3 ,0.5 ,26763.3 ,1604.5 ,1.8 
8.0 ,3.1 ,10.0 ,3.1 ,1.3 ,10.0 ,6.0 ,1.0 ,200.0 ,1.0 ,302.8 ,1.3 ,0.3 ,14913.3 ,1090.2 ,1.6 
9.0 ,3.5 ,8.0 ,3.5 ,0.9 ,8.0 ,6.0 ,1.0 ,200.0 ,1.0 ,302.1 ,0.8 ,0.4 ,13307.6 ,920.3 ,1.1 
9.0 ,3.5 ,13.5 ,3.5 ,1.3 ,9.0 ,6.0 ,1.5 ,200.0 ,1.0 ,301.7 ,1.4 ,0.4 ,29946.8 ,1715.2 ,1.8 
9.0 ,3.5 ,18.0 ,3.5 ,1.4 ,9.0 ,6.0 ,2.0 ,200.0 ,1.0 ,299.2 ,1.8 ,0.4 ,52081.0 ,2545.5 ,2.2 
9.0 ,3.5 ,10.0 ,3.5 ,1.7 ,10.0 ,6.0 ,1.0 ,200.0 ,1.0 ,302.2 ,1.5 ,0.2 ,17082.2 ,1181.3 ,1.7 
9.0 ,3.5 ,15.0 ,3.5 ,1.9 ,10.0 ,6.0 ,1.5 ,200.0 ,1.0 ,297.1 ,2.0 ,0.2 ,34465.1 ,1973.9 ,2.2 
10.0 ,3.9 ,6.0 ,3.9 ,0.2 ,4.0 ,6.0 ,1.5 ,200.0 ,1.0 ,301.1 ,0.1 ,1.9 ,13955.1 ,764.2 ,2.1 
10.0 ,3.9 ,8.0 ,3.9 ,0.2 ,4.0 ,6.0 ,2.0 ,200.0 ,1.0 ,299.1 ,0.2 ,2.3 ,21355.3 ,1004.5 ,2.5 
10.0 ,3.9 ,10.0 ,3.9 ,0.2 ,4.0 ,6.0 ,2.5 ,200.0 ,1.0 ,297.4 ,0.2 ,2.6 ,30973.3 ,1276.7 ,2.8 
10.0 ,3.9 ,7.0 ,3.9 ,0.8 ,7.0 ,6.0 ,1.0 ,200.0 ,1.0 ,299.6 ,0.6 ,0.4 ,13434.4 ,880.4 ,0.9 
10.0 ,3.9 ,16.0 ,3.9 ,1.2 ,8.0 ,6.0 ,2.0 ,200.0 ,1.0 ,300.9 ,1.3 ,0.4 ,48588.5 ,2285.4 ,1.8 
10.0 ,3.9 ,13.5 ,3.9 ,1.7 ,9.0 ,6.0 ,1.5 ,200.0 ,1.0 ,297.1 ,1.6 ,0.2 ,33418.4 ,1830.1 ,1.8 
10.0 ,3.9 ,18.0 ,3.9 ,1.8 ,9.0 ,6.0 ,2.0 ,200.0 ,1.0 ,298.3 ,1.9 ,0.3 ,57097.6 ,2685.7 ,2.2 
10.0 ,3.9 ,15.0 ,3.9 ,2.4 ,10.0 ,6.0 ,1.5 ,200.0 ,1.0 ,299.1 ,2.1 ,0.2 ,38297.1 ,2097.3 ,2.3 
