dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,c*Nx,V(mm鲁),P,,dc1,dc2,Nx*c,V(mm鲁),P
6,1.6,3,3656.59 ,0.99 ,,9.6,4,3,10968.67 ,0.80 ,,9.6,4,6,12623.69 ,0.71 ,,9.6,5.4,6,12500.224,0.837588906
6,2.6,3,4062.88 ,0.95 ,,9.6,4,3,6480.67 ,0.74 ,,9.6,4,6,13368.89 ,0.89 ,,9.6,5.6,6,12642.272,0.858255759
6,1.4,4,3670.37 ,0.97 ,,9.6,4,4.5,9960.72 ,0.92 ,,9.6,4,6,9270.29 ,0.93 ,,9.6,1.6,6,9483.912,0.853546619
6,2.6,4,4119.81 ,0.98 ,,9.6,4,3,6929.47 ,0.58 ,,9.6,4,6,10760.69 ,0.90 ,,9.6,1.6,6,10753.512,0.787061155
6,1,4,3810.08 ,0.99 ,,9.6,4,4.5,12312.72 ,0.85 ,,9.6,4,7,9838.40 ,0.94 ,,9.6,2.6,6,10171.152,0.795455307
6,1.6,4,4053.28 ,0.94 ,,9.6,4,4.5,13488.72 ,0.82 ,,10,3.3,6,12623.18 ,0.67 ,,9.6,2.6,6,11532.752,0.726218253
6,2.4,4,4377.54 ,0.93 ,,9.6,4,6,12623.69 ,0.71 ,,10,3.3,6,9316.76 ,0.90 ,,9.6,4,6,12623.688,0.708744884
6,1,4,4099.60 ,0.99 ,,9.6,4,4,8871.02 ,0.67 ,,10.5,4,7,9142.70 ,0.97 ,,9.6,4.2,6,11270.736,0.803777277
6,1.4,4,4274.05 ,0.96 ,,9.6,4,6,13368.89 ,0.89 ,,10.5,4,7,10971.24 ,0.81 ,,9.6,1.8,6,10587.36,0.745450854
6,1.6,5,4654.85 ,0.98 ,,9.6,4,5,6664.90 ,0.92 ,,10.5,4,7,11885.51 ,0.67 ,,9.6,1.8,6,11875.36,0.71221596
7,2.4,3,4390.27 ,0.89 ,,9.6,4,5,7941.70 ,0.78 ,,10.5,4,7,10971.24 ,0.94 ,,9.6,2.4,6,12384.304,0.69010666
